squads_player_id;squads_tournament_id;squads_team_id;squads_shirt_number;squads_position_name;players_family_name;players_given_name;players_birth_date;players_female;players_goal_keeper;players_defender;players_midfielder;players_forward
P-43717;WC-1998;T-03;13;defender;Paz;Pablo;1973-01-27;0;0;1;0;0
P-43720;WC-2015;T-71;17;defender;Kim;Hye-yeong;1995-02-26;1;0;1;0;0
P-43723;WC-2014;T-08;9;forward;Ibiševi?;Vedad;1984-08-06;0;0;0;0;1
P-43724;WC-1954;T-06;12;goal keeper;Geerts;Charles;1930-10-29;0;1;0;0;0
P-43732;WC-1990;T-16;9;forward;Guerrero;Miguel;1967-09-07;0;0;0;0;1
P-43733;WC-1970;T-72;19;forward;Nodia;Givi;1948-01-02;0;0;0;0;1
P-43734;WC-1930;T-87;0;forward;Bek;Ivan;1909-10-29;0;0;0;0;1
P-43736;WC-2002;T-83;19;goal keeper;Meola;Tony;1969-02-21;0;1;0;0;0
P-43736;WC-1990;T-83;1;goal keeper;Meola;Tony;1969-02-21;0;1;0;0;0
P-43736;WC-1994;T-83;1;goal keeper;Meola;Tony;1969-02-21;0;1;0;0;0
P-43737;WC-1938;T-19;0;forward;Oliveira;Carlos;not available;0;0;0;0;1
P-43761;WC-1970;T-28;17;defender;Charlton;Jack;1935-05-08;0;0;1;0;0
P-43761;WC-1966;T-28;5;defender;Charlton;Jack;1935-05-08;0;0;1;0;0
P-43764;WC-2014;T-28;2;defender;Johnson;Glen;1984-08-23;0;0;1;0;0
P-43764;WC-2010;T-28;2;defender;Johnson;Glen;1984-08-23;0;0;1;0;0
P-43777;WC-1930;T-46;0;defender;Garza Gutiérrez;Rafael;1896-12-13;0;0;1;0;0
P-43781;WC-1982;T-09;22;goal keeper;Carlos;not applicable;1956-03-04;0;1;0;0;0
P-43781;WC-1986;T-09;1;goal keeper;Carlos;not applicable;1956-03-04;0;1;0;0;0
P-43781;WC-1978;T-09;12;goal keeper;Carlos;not applicable;1956-03-04;0;1;0;0;0
P-43807;WC-1930;T-07;0;forward;Alborta;Mario;1910-09-19;0;0;0;0;1
P-43823;WC-1950;T-83;0;midfielder;Bahr;Walter;1927-04-01;0;0;0;1;0
P-43829;WC-1994;T-63;21;goal keeper;Al-Sadiq;Hussein;1973-10-15;0;1;0;0;0
P-43829;WC-1998;T-63;21;goal keeper;Al-Sadiq;Hussein;1973-10-15;0;1;0;0;0
P-43850;WC-1994;T-33;4;defender;Manolas;Stelios;1961-07-13;0;0;1;0;0
P-43888;WC-1986;T-06;15;midfielder;Van Der Elst;Leo;1962-01-07;0;0;0;1;0
P-43905;WC-1982;T-13;9;forward;Letelier;Juan Carlos;1959-05-20;0;0;0;0;1
P-43921;WC-2022;T-59;20;midfielder;Al-Hajri;Salem;1996-04-10;0;0;0;1;0
P-43931;WC-2006;T-77;6;midfielder;Aziawonou;Yao;1979-11-30;0;0;0;1;0
P-43934;WC-1998;T-13;8;midfielder;Acuña;Clarence;1975-02-08;0;0;0;1;0
P-43941;WC-1982;T-06;13;forward;Van Der Elst;François;1954-12-01;0;0;0;0;1
P-43944;WC-1958;T-03;8;forward;Prado;Eliseo;1929-09-17;0;0;0;0;1
P-43950;WC-1990;T-71;2;defender;Park;Kyung-hoon;1961-01-19;0;0;1;0;0
P-43950;WC-1986;T-71;2;defender;Park;Kyung-hoon;1961-01-19;0;0;1;0;0
P-43959;WC-1998;T-28;17;midfielder;Lee;Rob;1966-02-01;0;0;0;1;0
P-43964;WC-1954;T-64;22;forward;McMillan;Ian;1931-03-18;0;0;0;0;1
P-43980;WC-1990;T-16;4;defender;Herrera;Luis Fernando;1962-06-12;0;0;1;0;0
P-43980;WC-1994;T-16;4;defender;Herrera;Luis Fernando;1962-06-12;0;0;1;0;0
P-43998;WC-1991;T-22;17;midfielder;Bagge;Lotte;1968-05-21;1;0;0;1;0
P-44005;WC-1978;T-73;22;goal keeper;Urruti;not applicable;1952-02-17;0;1;0;0;0
P-44005;WC-1986;T-73;13;goal keeper;Urruti;not applicable;1952-02-17;0;1;0;0;0
P-44005;WC-1982;T-73;21;goal keeper;Urruti;not applicable;1952-02-17;0;1;0;0;0
P-44010;WC-1930;T-56;0;forward;Souza Ferreira;Luis;1904-06-30;0;0;0;0;1
P-44011;WC-1998;T-79;17;midfielder;Clayton;José;1974-03-21;0;0;1;1;0
P-44011;WC-2002;T-79;23;defender;Clayton;José;1974-03-21;0;0;1;1;0
P-44016;WC-1990;T-11;6;defender;Kundé;Emmanuel;1956-07-15;0;0;1;0;0
P-44016;WC-1982;T-11;6;defender;Kundé;Emmanuel;1956-07-15;0;0;1;0;0
P-44025;WC-1958;T-36;14;forward;Szojka;Ferenc;1931-04-07;0;0;0;1;1
P-44025;WC-1954;T-36;15;midfielder;Szojka;Ferenc;1931-04-07;0;0;0;1;1
P-44035;WC-2018;T-65;1;goal keeper;Diallo;Abdoulaye;1992-03-30;0;1;0;0;0
P-44038;WC-1954;T-21;16;midfielder;Procházka;Zden?k;1928-01-12;0;0;0;1;0
P-44044;WC-2018;T-65;20;forward;Baldé;Keita;1995-03-08;0;0;0;0;1
P-44064;WC-1999;T-04;11;midfielder;Black;Sharon;1971-04-04;1;0;0;1;0
P-44067;WC-1995;T-14;2;midfielder;Wang;Liping;1973-11-12;1;0;1;1;0
P-44067;WC-1999;T-14;2;midfielder;Wang;Liping;1973-11-12;1;0;1;1;0
P-44067;WC-2003;T-14;20;defender;Wang;Liping;1973-11-12;1;0;1;1;0
P-44080;WC-1938;T-06;0;forward;Fievez;Jean;1910-11-30;0;0;0;0;1
P-44093;WC-2018;T-26;7;defender;Fathy;Ahmed;1984-11-10;0;0;1;0;0
P-44097;WC-2006;T-77;14;midfielder;Olufadé;Adékambi;1980-01-07;0;0;0;1;0
P-44105;WC-1978;T-79;8;midfielder;Agrebi;Hamadi;1951-03-20;0;0;0;1;0
P-44112;WC-2010;T-01;10;forward;Saïfi;Rafik;1975-02-07;0;0;0;0;1
P-44115;WC-2011;T-49;17;forward;Wilkinson;Hannah;1992-05-28;1;0;0;0;1
P-44115;WC-2019;T-49;17;forward;Wilkinson;Hannah;1992-05-28;1;0;0;0;1
P-44115;WC-2015;T-49;17;forward;Wilkinson;Hannah;1992-05-28;1;0;0;0;1
P-44116;WC-2010;T-11;2;defender;Assou-Ekotto;Benoît;1984-03-24;0;0;1;0;0
P-44116;WC-2014;T-11;2;defender;Assou-Ekotto;Benoît;1984-03-24;0;0;1;0;0
P-44129;WC-1938;T-53;0;defender;Andersen;Oddmund;1915-12-21;0;0;1;0;0
P-44137;WC-2003;T-14;14;midfielder;Bi;Yan;1984-02-17;1;0;0;1;0
P-44137;WC-2007;T-14;7;midfielder;Bi;Yan;1984-02-17;1;0;0;1;0
P-44161;WC-2007;T-12;21;forward;Robinson;Jodi-Ann;1989-04-17;1;0;0;0;1
P-44161;WC-2011;T-12;10;forward;Robinson;Jodi-Ann;1989-04-17;1;0;0;0;1
P-44178;WC-1954;T-75;10;midfielder;Eggimann;Oliver;1919-01-28;0;0;0;1;0
P-44178;WC-1950;T-75;0;midfielder;Eggimann;Oliver;1919-01-28;0;0;0;1;0
P-44185;WC-1999;T-51;8;forward;Kim;Song-ryo;1976-06-05;1;0;0;0;1
P-44201;WC-1930;T-84;0;forward;Scarone;Héctor;1898-11-26;0;0;0;0;1
P-44205;WC-2006;T-02;5;defender;Kali;not applicable;1978-10-11;0;0;1;0;0
